rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
207,frame_0308.jpg,123.2,0.2853,0.3067,0.3333,0.16,5,2,False,False
208,frame_0323.jpg,129.2,0.284,0.3201,0.3333,0.12,5,2,False,False
209,frame_0272.jpg,108.8,0.2759,0.4197,0.1667,0.08,2,1,False,False
210,frame_0222.jpg,88.8,0.2716,0.2633,0.3333,0.2,4,2,False,False
211,frame_0215.jpg,86.0,0.2711,0.2501,0.1667,0.48,3,1,False,False
212,frame_0089.jpg,35.6,0.2696,0.2792,0.1667,0.4,6,1,False,False
213,frame_0221.jpg,88.4,0.2685,0.3409,0.1667,0.24,2,1,False,False
214,frame_0186.jpg,74.4,0.2673,0.3186,0.3333,0.04,6,2,False,False
215,frame_0023.jpg,9.2,0.2657,0.1314,0.0,1.0,1,0,False,False
216,frame_0100.jpg,40.0,0.265,0.4139,0.1667,0.04,4,1,False,False
217,frame_0379.jpg,151.6,0.2646,0.3132,0.3333,0.04,8,2,False,False
218,frame_0009.jpg,3.6,0.2636,0.1271,0.0,1.0,2,0,False,False
219,frame_0097.jpg,38.8,0.2626,0.2933,0.3333,0.08,4,2,False,False
220,frame_0311.jpg,124.4,0.256,0.296,0.3333,0.04,3,2,False,False
221,frame_0094.jpg,37.6,0.2495,0.319,0.1667,0.2,4,1,False,False
222,frame_0268.jpg,107.2,0.2461,0.2603,0.3333,0.08,5,2,False,False
223,frame_0090.jpg,36.0,0.2441,0.2441,0.1667,0.36,3,1,False,False
224,frame_0119.jpg,47.6,0.243,0.294,0.0,0.48,1,0,False,False
225,frame_0207.jpg,82.8,0.2414,0.1627,0.0,0.8,2,0,False,False
226,frame_0204.jpg,81.6,0.2402,0.2083,0.0,0.68,2,0,False,False
227,frame_0381.jpg,152.4,0.2369,0.2578,0.3333,0.04,5,2,False,False
228,frame_0223.jpg,89.2,0.2332,0.3024,0.1667,0.16,4,1,False,False
229,frame_0310.jpg,124.0,0.233,0.3339,0.1667,0.08,3,1,False,False
230,frame_0190.jpg,76.0,0.2321,0.3162,0.1667,0.12,3,1,False,False
231,frame_0219.jpg,87.6,0.2305,0.2329,0.1667,0.32,2,1,False,False
232,frame_0226.jpg,90.4,0.2247,0.2334,0.3333,0.04,5,2,False,False
233,frame_0393.jpg,157.2,0.2242,0.3323,0.1667,0.04,3,1,False,False
234,frame_0305.jpg,122.0,0.2236,0.2352,0.1667,0.28,5,1,False,False
235,frame_0319.jpg,127.6,0.2162,0.2203,0.1667,0.28,5,1,False,False
236,frame_0192.jpg,76.8,0.2134,0.2467,0.1667,0.2,3,1,False,False
237,frame_0081.jpg,32.4,0.2113,0.1346,0.0,0.72,3,0,False,False
238,frame_0082.jpg,32.8,0.2113,0.1506,0.0,0.68,4,0,False,False
239,frame_0120.jpg,48.0,0.2096,0.2111,0.0,0.52,3,0,False,False
240,frame_0273.jpg,109.2,0.2092,0.2704,0.1667,0.12,4,1,False,False
241,frame_0205.jpg,82.0,0.2059,0.1239,0.0,0.72,2,0,False,False
242,frame_0193.jpg,77.2,0.1985,0.201,0.1667,0.24,5,1,False,False
243,frame_0200.jpg,80.0,0.1966,0.1852,0.0,0.52,2,0,False,False
244,frame_0199.jpg,79.6,0.1947,0.1974,0.0,0.48,1,0,False,False
245,frame_0321.jpg,128.4,0.1912,0.2024,0.1667,0.2,5,1,False,False
246,frame_0371.jpg,148.4,0.1903,0.2485,0.1667,0.08,4,1,False,False
247,frame_0105.jpg,42.0,0.1888,0.2455,0.1667,0.08,6,1,False,False
248,frame_0382.jpg,152.8,0.1864,0.2408,0.1667,0.08,6,1,False,False
249,frame_0083.jpg,33.2,0.1845,0.113,0.0,0.64,1,0,False,False
250,frame_0324.jpg,129.6,0.1784,0.2247,0.1667,0.08,5,1,False,False
251,frame_0325.jpg,130.0,0.1727,0.2293,0.1667,0.04,4,1,False,False
252,frame_0180.jpg,72.0,0.1638,0.1955,0.1667,0.08,5,1,False,False
253,frame_0217.jpg,86.8,0.1541,0.1482,0.0,0.4,3,0,False,False
254,frame_0103.jpg,41.2,0.146,0.228,0.0,0.16,2,0,False,False
255,frame_0181.jpg,72.4,0.1041,0.1922,0.0,0.04,4,0,False,False
256,frame_0110.jpg,44.0,0.1034,0.1588,0.0,0.12,1,0,False,False
